X,Y,Yaw,Timestamp
3.39007,0.128964,-0.0828539,8.56
3.4091,0.127611,-0.0611496,8.58
3.42888,0.126841,-0.0163671,8.6
3.4494,0.126671,-0.00383578,8.62
3.47064,0.126585,-0.00413175,8.64
3.49259,0.126125,-0.0407159,8.66
3.51525,0.125118,-0.0492065,8.68
3.53863,0.124213,-0.0473251,8.7
3.56274,0.123543,-0.0278647,8.72
3.58758,0.123939,0.000581395,8.74
3.61313,0.12348,-0.0286897,8.76
3.63936,0.121888,-0.0818679,8.78
3.66624,0.119364,-0.110147,8.8
3.69383,0.116729,-0.093242,8.82
3.72205,0.113217,-0.137954,8.84
3.75099,0.109656,-0.166602,8.86
3.78046,0.104743,-0.142584,8.88
3.81083,0.101007,-0.0887586,8.9
3.84195,0.0975175,-0.132731,8.92
3.87373,0.0934666,-0.127102,8.94
3.90628,0.08973,-0.109698,8.96
3.93948,0.0854191,-0.132705,8.98
3.97347,0.0817465,-0.0780796,9
4.00836,0.0803777,-0.0342803,9.02
4.04359,0.0794376,-0.023297,9.04
4.07809,0.0772411,-0.0740294,9.06
4.11186,0.0749213,-0.0596522,9.08
4.14494,0.073152,-0.012668,9.1
4.17735,0.072602,-0.0208067,9.12
4.20901,0.0732905,0.0552837,9.14
4.23989,0.0757157,0.0990334,9.16
4.26998,0.0787197,0.096091,9.18
4.29941,0.0812094,0.0895592,9.2
4.328,0.0847031,0.119024,9.22
4.35592,0.0877945,0.10042,9.24
4.3831,0.0910032,0.123275,9.26
4.40955,0.094193,0.0868298,9.28
4.4354,0.0962637,0.0614558,9.3
4.46053,0.098255,0.093025,9.32
4.48488,0.100818,0.122311,9.34
4.5085,0.103461,0.0982651,9.36
4.53145,0.105675,0.094986,9.38
4.55373,0.107091,0.0537055,9.4
4.5753,0.108353,0.0523199,9.42
4.59616,0.109468,0.0600887,9.44
4.6163,0.110627,0.0667795,9.46
4.63572,0.111698,0.0478557,9.48
4.65442,0.112788,0.0607946,9.5
4.67236,0.114293,0.111565,9.52
4.68951,0.116451,0.132929,9.54
4.70592,0.118776,0.150741,9.56
4.72163,0.120842,0.118808,9.58
4.73665,0.122694,0.125188,9.6
4.75094,0.124574,0.139775,9.62
4.76449,0.126475,0.136716,9.64
4.77734,0.128243,0.136716,9.66
4.78951,0.129602,0.100563,9.68
4.80101,0.130491,0.0766127,9.7
4.81176,0.131597,0.117328,9.72
4.82178,0.132775,0.113534,9.74
4.83109,0.133837,0.113534,9.76
4.83969,0.134817,0.119053,9.78
4.84756,0.135765,0.128347,9.8
4.85471,0.136686,0.12657,9.82
4.86115,0.137505,0.12657,9.84
4.86687,0.138244,0.128655,9.86
4.87188,0.138892,0.128655,9.88
4.87618,0.139437,0.0910298,9.9
4.87977,0.139765,0.0910298,9.92
4.88265,0.140021,0.0829239,9.94
4.88481,0.140201,0.0829239,9.96
4.88626,0.140321,0.0829239,9.98
4.88699,0.140381,0.0829239,10
4.88708,0.140389,0.0829239,10.02
